"Ustar (m/s)","Wall Y+","Wall Shear Stress: Magnitude (Pa)","X (m)","Y (m)","Z (m)"
0.0116342473102518,0.0578891533286532,0.13523023582859,0.267038558723758,-4.56440075770105e-16,0
0.0120615223224077,0.0600161917828505,0.14534562540729,0.264636367790491,5.59105698818517e-17,0
0.0124966388893207,0.0621822594182446,0.156021461077747,0.262234176857224,1.89391449014832e-16,0
0.0128992721988969,0.0641866955921383,0.166237219107833,0.259831985923957,5.80459141543226e-17,0
0.0133098811100081,0.0662308128287958,0.176988835033948,0.25742979499069,-4.57265616082174e-17,0
0.0136897906140512,0.0681221548445516,0.18723654611944,0.255027604057423,-4.00668647875401e-17,0
0.0140767322587762,0.0700484692567612,0.197970259917155,0.252625413124155,-8.80148330885938e-19,0
0.014435053677483,0.0718323366877636,0.208176715145744,0.250223222190888,1.45512269608919e-17,0
0.0147984489290106,0.0736414185657715,0.21878956585137,0.247821031257621,6.65052477769391e-18,0
0.0151361789256617,0.0753227421169299,0.228889278259307,0.245418840324354,-2.44037893144454e-18,0
0.0154758556305519,0.0770137063853833,0.239276924206272,0.243016649391087,-3.52715107930427e-18,0
0.0157933936543191,0.0785944476734861,0.249195849469565,0.24061445845782,-7.17917228656888e-19,0
0.0161089630160068,0.0801653338493106,0.259252697577191,0.238212267524552,9.99078463225913e-19,0
0.0164064753168377,0.0816462966093042,0.268916095474081,0.235810076591285,7.0594996071168e-19,0
0.0166980206797047,0.0830974964928549,0.278557053305548,0.233407885658018,-4.2325581984078e-20,0
0.0169746094615784,0.0844741917881526,0.287860171538464,0.231005694724751,-2.80031336582036e-19,0
0.0172425180270741,0.0858076120868558,0.297016834211572,0.228603503791484,-1.09360560468304e-19,0
0.0174971398590327,0.0870748287044794,0.30585204023379,0.226201312858217,5.46658924400101e-20,0
0.0177415744418108,0.0882912626401135,0.314455372700006,0.22379912192495,6.3646848746181e-20,0
0.0179733549316202,0.0894446332170272,0.322723310736203,0.221396930991682,8.97503390544158e-21,0
0.0181940908036537,0.0905429466982149,0.330696784194442,0.218994740058415,-1.94301683939132e-20,0
0.0184025326595238,0.0915799832507603,0.338315237597821,0.216592549125148,-1.13943863514413e-20,0
